ABINSPAY,ABMEDGOV1,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABMORAL,ABSTATE1,ABSTATE2,SEX,RACE,CLASS,PARTYID,ID
0,0,0,0,0,0,0,0,0,2,1,3,4,121
0,0,0,0,0,0,0,0,0,2,1,2,3,122
0,0,0,1,1,0,0,1,0,2,1,3,2,124
0,0,0,0,0,0,0,0,0,1,1,3,0,125
0,0,0,0,0,0,0,0,0,1,3,3,1,126
1,1,0,0,0,0,0,0,0,2,1,2,6,127
0,0,0,0,0,0,0,0,0,2,1,3,1,128
0,1,0,0,0,0,0,0,0,1,1,3,1,129
0,0,0,0,0,0,0,0,0,2,1,3,0,130
0,1,0,0,0,0,0,0,0,2,1,2,3,131
0,0,0,0,0,0,0,0,0,2,1,3,1,132
0,0,0,0,0,0,0,1,1,1,1,3,0,133
1,0,0,0,0,0,0,1,0,1,1,3,0,134
0,1,0,0,0,0,0,0,0,1,1,3,0,135
0,0,0,0,0,0,0,0,0,2,3,2,3,136
0,1,0,0,0,0,0,0,0,1,3,3,3,137
0,0,0,0,0,0,0,0,0,2,3,2,3,138
0,1,0,0,0,0,0,1,1,2,1,2,2,139
0,0,0,0,0,0,0,0,0,2,1,3,4,140
0,0,0,0,0,0,0,0,0,1,1,2,6,141
0,1,0,0,0,0,0,1,1,1,1,2,1,142
0,0,0,0,0,0,0,1,0,1,3,1,3,143
0,0,0,0,0,0,0,0,0,1,2,3,3,144
0,1,0,0,0,0,0,0,0,1,3,2,0,145
0,0,0,0,0,0,0,0,0,1,2,3,4,146
0,0,0,0,0,0,0,0,0,1,2,1,1,147
0,1,0,0,0,0,0,0,0,2,2,2,3,148
0,0,0,0,0,0,0,0,0,1,1,2,3,149
0,1,0,0,0,0,0,0,0,2,1,3,0,150
0,1,0,0,0,0,0,0,0,2,2,2,2,151
0,0,0,0,0,0,0,0,0,2,2,2,0,152
0,1,0,0,0,0,0,0,0,2,2,2,3,153
0,1,0,0,0,0,0,0,0,2,3,2,3,154
0,1,0,0,0,0,0,0,0,1,3,2,5,155
0,1,0,0,0,0,0,0,0,2,3,2,1,156
0,1,0,0,0,0,0,0,0,2,1,3,5,157
0,0,0,0,0,0,0,0,0,2,3,2,7,158
0,1,0,0,0,0,0,0,0,2,3,1,2,159
1,0,0,0,0,0,0,1,1,2,1,2,3,160
0,1,0,0,0,0,0,0,0,2,3,2,0,161
0,0,0,0,0,0,0,0,0,2,1,3,1,162
0,0,0,0,0,0,0,1,0,2,3,2,1,164
0,0,0,0,0,0,0,0,0,2,1,2,3,165
0,0,0,0,0,0,0,1,0,2,1,2,2,166
0,0,0,0,0,0,0,0,0,1,1,2,1,167
0,1,0,0,0,0,0,0,0,1,1,2,1,169
0,1,0,0,0,0,0,0,0,1,1,2,0,170
0,0,0,0,0,0,0,0,0,1,1,3,4,171
0,1,0,0,0,0,0,0,0,1,3,2,2,172
0,1,0,0,0,0,0,0,0,2,1,2,6,173
0,0,0,0,0,0,0,0,0,2,1,3,0,174
0,0,0,0,0,0,0,0,0,1,1,3,0,175
0,1,0,0,0,0,0,1,1,2,3,3,3,176
0,0,0,0,0,0,0,0,0,2,1,4,0,177
0,1,0,0,0,0,0,0,0,1,1,3,4,178
0,0,0,0,0,0,0,0,0,1,3,3,1,179
0,1,0,0,0,0,0,0,0,1,1,3,3,180
0,1,0,0,0,0,0,0,0,2,1,1,2,182
0,0,0,0,0,0,0,0,0,1,1,3,0,183
0,0,0,0,0,0,0,0,0,1,1,4,0,184
0,1,0,0,0,0,0,0,0,1,3,3,2,185
0,1,0,0,0,0,0,0,0,2,1,3,0,186
0,0,0,0,0,0,0,0,0,2,1,3,2,187
0,1,0,0,0,0,0,0,0,1,3,2,1,188
0,0,0,0,0,0,0,0,0,1,3,2,4,190
0,0,0,0,0,0,0,0,0,1,3,3,6,191
0,1,0,0,0,0,0,0,0,2,1,2,5,192
0,0,0,0,0,0,1,0,0,1,1,2,2,193
0,1,0,0,0,0,0,0,0,2,3,3,4,194
0,1,0,0,0,0,0,0,0,1,1,1,6,195
0,0,0,0,0,0,0,0,0,1,1,3,4,196
0,0,0,0,0,0,0,0,0,2,3,3,6,197
0,1,0,0,0,0,0,0,0,1,1,2,1,198
0,0,0,0,0,0,0,0,0,2,1,3,1,199
1,0,0,0,0,0,0,0,0,2,1,3,5,200
0,0,0,0,0,0,0,0,0,1,3,3,4,201
0,1,0,0,0,0,0,0,0,1,1,3,1,202
0,0,0,0,0,0,0,0,0,2,1,3,0,203
0,0,0,0,0,0,0,0,0,2,1,3,2,204
0,1,0,0,0,0,0,1,0,1,3,2,3,205
0,0,0,0,0,0,0,0,0,2,1,3,7,206
0,1,0,0,0,0,0,0,0,1,1,2,4,207
0,1,0,0,0,0,0,0,0,1,1,3,7,208
0,1,0,0,0,0,0,0,0,1,1,3,1,209
0,0,0,0,0,0,0,0,0,2,3,3,3,210
0,0,0,0,0,0,0,1,0,1,1,3,0,211
0,1,0,0,0,0,0,0,0,1,1,3,6,212
0,0,0,0,0,0,0,0,0,2,1,3,2,213
0,0,0,0,0,0,0,0,0,2,2,3,0,214
0,1,0,0,0,0,0,0,0,2,1,1,6,215
0,0,0,0,0,0,0,0,0,2,1,2,1,216
0,0,0,0,0,0,0,0,0,1,1,3,3,218
0,1,0,0,0,0,0,0,0,2,3,3,2,219
0,1,0,0,0,0,0,1,1,2,1,2,3,220
0,0,0,0,0,0,0,0,0,2,1,3,6,221
0,1,0,0,0,0,0,0,0,1,1,3,1,223
